,id,set,gbert-large_yes_comment
252,NDY-003_253,train,
253,NDY-003_254,train,
254,NDY-003_255,train,
255,NDY-003_256,train,
256,NDY-003_257,train,
257,NDY-003_258,train,
258,NDY-003_259,train,
259,NDY-003_260,train,
260,NDY-003_261,train,
261,NDY-003_262,test,0.9916797280311584
262,NDY-003_263,train,
263,NDY-003_264,test,0.9900658130645752
264,NDY-003_265,train,
265,NDY-003_266,train,
266,NDY-003_267,test,0.9838852882385254
267,NDY-003_268,train,
268,NDY-003_269,test,0.0045583248138427734
269,NDY-003_270,train,
270,NDY-003_271,train,
271,NDY-003_272,train,
272,NDY-003_273,train,
273,NDY-003_274,test,0.01323544979095459
274,NDY-003_275,train,
275,NDY-003_276,train,
276,NDY-003_277,train,
277,NDY-003_278,train,
278,NDY-003_279,train,
279,NDY-003_280,test,0.9923662543296814
280,NDY-003_281,train,
281,NDY-003_282,train,
282,NDY-003_283,train,
283,NDY-003_284,train,
284,NDY-003_285,train,
285,NDY-003_286,train,
286,NDY-003_287,train,
287,NDY-003_288,train,
288,NDY-003_289,train,
289,NDY-003_290,train,
290,NDY-003_291,train,
291,NDY-003_292,train,
292,NDY-003_293,train,
293,NDY-003_294,train,
294,NDY-003_295,train,
295,NDY-003_296,train,
296,NDY-003_297,train,
297,NDY-003_298,train,
298,NDY-003_299,train,
299,NDY-003_300,train,
300,NDY-003_301,train,
301,NDY-003_302,train,
302,NDY-003_303,train,
303,NDY-003_304,train,
304,NDY-003_305,train,
305,NDY-003_306,train,
306,NDY-003_307,train,
307,NDY-003_308,train,
308,NDY-003_309,test,0.8880966901779175
309,NDY-003_310,train,
310,NDY-003_311,train,
311,NDY-003_312,test,0.006333768367767334
312,NDY-003_313,test,0.0030129551887512207
313,NDY-003_314,train,
314,NDY-003_315,test,0.9403359293937683
315,NDY-003_316,train,
316,NDY-003_317,train,
317,NDY-003_318,train,
318,NDY-003_319,train,
319,NDY-003_320,train,
320,NDY-003_321,train,
321,NDY-003_322,train,
322,NDY-003_323,train,
323,NDY-003_324,train,
324,NDY-003_325,train,
325,NDY-003_326,train,
326,NDY-003_327,train,
327,NDY-003_328,train,
328,NDY-003_329,train,
329,NDY-003_330,train,
330,NDY-003_331,test,0.014244377613067627
331,NDY-003_332,train,
332,NDY-003_333,train,
333,NDY-003_334,train,
334,NDY-003_335,train,
335,NDY-003_336,train,
336,NDY-003_337,train,
337,NDY-003_338,train,
338,NDY-003_339,train,
339,NDY-003_340,train,
340,NDY-003_341,train,
341,NDY-003_342,test,0.0028294920921325684
342,NDY-003_343,train,
343,NDY-003_344,train,
344,NDY-003_345,test,0.9829068779945374
345,NDY-003_346,train,
346,NDY-003_347,train,
347,NDY-003_348,train,
348,NDY-003_349,train,
349,NDY-003_350,train,
350,NDY-003_351,train,
351,NDY-003_352,train,
352,NDY-003_353,train,
353,NDY-003_354,train,
354,NDY-003_355,train,
355,NDY-003_356,train,
356,NDY-003_357,train,
357,NDY-003_358,train,
358,NDY-003_359,train,
359,NDY-003_360,train,
360,NDY-003_361,train,
361,NDY-003_362,test,0.9921578168869019
362,NDY-003_363,train,
363,NDY-003_364,train,
364,NDY-003_365,train,
365,NDY-003_366,train,
366,NDY-003_367,train,
367,NDY-003_368,train,
368,NDY-003_369,train,
369,NDY-003_370,test,0.0011255145072937012
370,NDY-003_371,train,
371,NDY-003_372,train,
372,NDY-003_373,train,
373,NDY-003_374,train,
374,NDY-003_375,test,0.9854501485824585
375,NDY-003_376,train,
376,NDY-003_377,train,
377,NDY-003_378,test,0.9907810091972351
378,NDY-003_379,train,
379,NDY-003_380,train,
380,NDY-003_381,train,
381,NDY-003_382,train,
382,NDY-003_383,train,
383,NDY-003_384,train,
384,NDY-003_385,train,
385,NDY-003_386,train,
386,NDY-003_387,train,
387,NDY-003_388,train,
388,NDY-003_389,train,
389,NDY-003_390,train,
390,NDY-003_391,train,
391,NDY-003_392,train,
392,NDY-003_393,train,
393,NDY-003_394,train,
394,NDY-003_395,train,
395,NDY-003_396,train,
396,NDY-003_397,test,0.9860844016075134
397,NDY-003_398,train,
398,NDY-003_399,train,
399,NDY-003_400,train,
400,NDY-003_401,train,
401,NDY-003_402,train,
402,NDY-003_403,train,
403,NDY-003_404,train,
404,NDY-003_405,train,
405,NDY-003_406,train,
406,NDY-003_407,train,
407,NDY-003_408,train,
408,NDY-003_409,train,
409,NDY-003_410,train,
410,NDY-003_411,train,
411,NDY-003_412,train,
412,NDY-003_413,train,
413,NDY-003_414,train,
414,NDY-003_415,train,
415,NDY-003_416,train,
416,NDY-003_417,train,
417,NDY-003_418,train,
418,NDY-003_419,train,
419,NDY-003_420,train,
420,NDY-003_421,train,
421,NDY-003_422,train,
422,NDY-003_423,train,
423,NDY-003_424,train,
424,NDY-003_425,train,
425,NDY-003_426,train,
426,NDY-003_427,train,
427,NDY-003_428,train,
428,NDY-003_429,test,0.019852936267852783
429,NDY-003_430,train,
430,NDY-003_431,train,
431,NDY-003_432,train,
432,NDY-003_433,train,
433,NDY-003_434,train,
434,NDY-003_435,train,
435,NDY-003_436,train,
436,NDY-003_437,train,
437,NDY-003_438,train,
438,NDY-003_439,train,
439,NDY-003_440,train,
440,NDY-003_441,train,
441,NDY-003_442,test,0.9763649106025696
442,NDY-003_443,train,
443,NDY-003_444,train,
444,NDY-003_445,train,
445,NDY-003_446,train,
446,NDY-003_447,train,
447,NDY-003_448,test,0.006513476371765137
448,NDY-003_449,train,
449,NDY-003_450,train,
450,NDY-003_451,train,
451,NDY-003_452,train,
452,NDY-003_453,train,
453,NDY-003_454,train,
454,NDY-003_455,train,
455,NDY-003_456,train,
456,NDY-003_457,train,
457,NDY-003_458,test,0.9172415733337402
458,NDY-003_459,train,
459,NDY-003_460,train,
460,NDY-003_461,train,
461,NDY-003_462,train,
462,NDY-003_463,train,
463,NDY-003_464,train,
464,NDY-003_465,train,
465,NDY-003_466,test,0.008100032806396484
466,NDY-003_467,train,
467,NDY-003_468,train,
468,NDY-003_469,train,
469,NDY-003_470,train,
470,NDY-003_471,train,
471,NDY-003_472,test,0.010771870613098145
472,NDY-003_473,train,
473,NDY-003_474,train,
474,NDY-003_475,train,
475,NDY-003_476,train,
476,NDY-003_477,train,
477,NDY-003_478,train,
478,NDY-003_479,train,
479,NDY-003_480,train,
480,NDY-003_481,test,0.6195694208145142
481,NDY-003_482,train,
482,NDY-003_483,train,
483,NDY-003_484,train,
484,NDY-003_485,train,
485,NDY-003_486,train,
486,NDY-003_487,train,
487,NDY-003_488,train,
488,NDY-003_489,train,
489,NDY-003_490,train,
490,NDY-003_491,train,
491,NDY-003_492,train,
492,NDY-003_493,train,
493,NDY-003_494,train,
494,NDY-003_495,train,
495,NDY-003_496,train,
496,NDY-003_497,train,
497,NDY-003_498,train,
498,NDY-003_499,train,
499,NDY-003_500,test,0.9799265265464783
500,NDY-003_501,train,
501,NDY-003_502,test,0.9842904210090637
502,NDY-003_503,train,
503,NDY-003_504,train,
504,NDY-003_505,train,
505,NDY-003_506,train,
506,NDY-003_507,train,
507,NDY-003_508,train,
508,NDY-003_509,train,
509,NDY-003_510,test,0.009885072708129883
510,NDY-003_511,train,
511,NDY-003_512,train,
512,NDY-003_513,train,
513,NDY-003_514,train,
514,NDY-003_515,train,
515,NDY-003_516,train,
516,NDY-003_517,test,0.9010360836982727
517,NDY-003_518,test,0.990155816078186
518,NDY-003_519,train,
519,NDY-003_520,train,
520,NDY-003_521,train,
521,NDY-003_522,train,
522,NDY-003_523,train,
523,NDY-003_524,train,
524,NDY-003_525,train,
525,NDY-003_526,train,
526,NDY-003_527,train,
527,NDY-003_528,train,
528,NDY-003_529,train,
529,NDY-003_530,train,
530,NDY-003_531,train,
531,NDY-003_532,train,
532,NDY-003_533,test,0.9913614392280579
533,NDY-003_534,train,
534,NDY-003_535,train,
535,NDY-003_536,train,
536,NDY-003_537,train,
537,NDY-003_538,train,
538,NDY-003_539,test,0.007604002952575684
539,NDY-003_540,train,
540,NDY-003_541,train,
541,NDY-003_542,train,
542,NDY-003_543,train,
543,NDY-003_544,train,
544,NDY-003_545,train,
545,NDY-003_546,train,
546,NDY-003_547,train,
547,NDY-003_548,train,
548,NDY-003_549,train,
549,NDY-003_550,train,
550,NDY-003_551,train,
551,NDY-003_552,train,
552,NDY-003_553,train,
553,NDY-003_554,train,
554,NDY-003_555,train,
555,NDY-003_556,train,
556,NDY-003_557,train,
557,NDY-003_558,train,
558,NDY-003_559,train,
559,NDY-003_560,train,
560,NDY-003_561,train,
561,NDY-003_562,train,
562,NDY-003_563,train,
563,NDY-003_564,train,
564,NDY-003_565,train,
565,NDY-003_566,train,
566,NDY-003_567,test,0.0065956711769104
567,NDY-003_568,train,
568,NDY-003_569,train,
569,NDY-003_570,train,
570,NDY-003_571,train,
571,NDY-003_572,train,
572,NDY-003_573,train,
573,NDY-003_574,test,0.0066536664962768555
574,NDY-003_575,train,
575,NDY-003_576,train,
576,NDY-003_577,train,
577,NDY-003_578,train,
578,NDY-003_579,train,
579,NDY-003_580,train,
580,NDY-003_581,train,
581,NDY-003_582,train,
582,NDY-003_583,train,
583,NDY-003_584,train,
584,NDY-003_585,train,
585,NDY-003_586,test,0.989365816116333
586,NDY-003_587,train,
587,NDY-003_588,train,
588,NDY-003_589,train,
589,NDY-003_590,train,
590,NDY-003_591,train,
591,NDY-003_592,train,
592,NDY-003_593,train,
593,NDY-003_594,train,
594,NDY-003_595,train,
595,NDY-003_596,train,
596,NDY-003_597,test,0.012091577053070068
597,NDY-003_598,train,
598,NDY-003_599,train,
599,NDY-003_600,train,
600,NDY-003_601,train,
601,NDY-003_602,train,
602,NDY-003_603,train,
603,NDY-003_604,train,
604,NDY-003_605,train,
605,NDY-003_606,train,
606,NDY-003_607,train,
607,NDY-003_608,train,
608,NDY-003_609,test,0.9891219735145569
609,NDY-003_610,train,
610,NDY-003_611,train,
611,NDY-003_612,train,
612,NDY-003_613,train,
613,NDY-003_614,train,
614,NDY-003_615,train,
615,NDY-003_616,train,
616,NDY-003_617,train,
617,NDY-003_618,train,
618,NDY-003_619,test,0.004359841346740723
619,NDY-003_620,train,
620,NDY-003_621,train,
621,NDY-003_622,train,
622,NDY-003_623,train,
623,NDY-003_624,test,0.01241910457611084
624,NDY-003_625,test,0.0014844536781311035
625,NDY-003_626,train,
626,NDY-003_627,train,
627,NDY-003_628,train,
628,NDY-003_629,train,
629,NDY-003_630,train,
630,NDY-003_631,train,
631,NDY-003_632,train,
632,NDY-003_633,train,
633,NDY-003_634,train,
634,NDY-003_635,train,
635,NDY-003_636,train,
636,NDY-003_637,train,
637,NDY-003_638,train,
638,NDY-003_639,train,
639,NDY-003_640,train,
640,NDY-003_641,test,0.010612726211547852
641,NDY-003_642,train,
642,NDY-003_643,train,
643,NDY-003_644,train,
644,NDY-003_645,train,
645,NDY-003_646,train,
646,NDY-003_647,train,
647,NDY-003_648,test,0.017015039920806885
648,NDY-003_649,train,
649,NDY-003_650,train,
650,NDY-003_651,train,
651,NDY-003_652,train,
652,NDY-003_653,train,
653,NDY-003_654,train,
654,NDY-003_655,train,
655,NDY-003_656,test,0.008369505405426025
656,NDY-003_657,train,
657,NDY-003_658,train,
658,NDY-003_659,train,
659,NDY-003_660,train,
660,NDY-003_661,train,
661,NDY-003_662,train,
662,NDY-003_663,train,
663,NDY-003_664,train,
664,NDY-003_665,train,
665,NDY-003_666,train,
666,NDY-003_667,train,
667,NDY-003_668,train,
668,NDY-003_669,train,
669,NDY-003_670,train,
670,NDY-003_671,train,
671,NDY-003_672,train,
672,NDY-003_673,train,
673,NDY-003_674,train,
674,NDY-003_675,train,
675,NDY-003_676,train,
676,NDY-003_677,train,
677,NDY-003_678,train,
678,NDY-003_679,train,
679,NDY-003_680,train,
680,NDY-003_681,train,
681,NDY-003_682,train,
682,NDY-003_683,train,
683,NDY-003_684,train,
684,NDY-003_685,train,
685,NDY-003_686,train,
686,NDY-003_687,train,
687,NDY-003_688,train,
688,NDY-003_689,train,
689,NDY-003_690,train,
690,NDY-003_691,train,
691,NDY-003_692,train,
692,NDY-003_693,train,
693,NDY-003_694,train,
694,NDY-003_695,train,
695,NDY-003_696,train,
696,NDY-003_697,train,
697,NDY-003_698,test,0.9905657172203064
698,NDY-003_699,train,
699,NDY-003_700,train,
700,NDY-003_701,train,
701,NDY-003_702,train,
702,NDY-003_703,test,0.021077632904052734
703,NDY-003_704,train,
704,NDY-003_705,train,
705,NDY-003_706,train,
706,NDY-003_707,train,
707,NDY-003_708,train,
708,NDY-003_709,train,
709,NDY-003_710,train,
710,NDY-003_711,test,0.005066931247711182
711,NDY-003_712,train,
712,NDY-003_713,train,
713,NDY-003_714,train,
714,NDY-003_715,train,
715,NDY-003_716,train,
716,NDY-003_717,train,
717,NDY-003_718,train,
718,NDY-003_719,train,
719,NDY-003_720,train,
720,NDY-003_721,train,
721,NDY-003_722,train,
722,NDY-003_723,train,
723,NDY-003_724,train,
724,NDY-003_725,train,
725,NDY-003_726,test,0.007114231586456299
726,NDY-003_727,train,
727,NDY-003_728,train,
728,NDY-003_729,train,
729,NDY-003_730,train,
730,NDY-003_731,train,
731,NDY-003_732,train,
732,NDY-003_733,train,
733,NDY-003_734,test,0.008334338665008545
734,NDY-003_735,test,0.9806089997291565
735,NDY-003_736,train,
736,NDY-003_737,train,
737,NDY-003_738,train,
738,NDY-003_739,train,
739,NDY-003_740,train,
740,NDY-003_741,train,
741,NDY-003_742,train,
742,NDY-003_743,train,
743,NDY-003_744,train,
744,NDY-003_745,train,
745,NDY-003_746,train,
746,NDY-003_747,train,
747,NDY-003_748,train,
748,NDY-003_749,test,0.006884396076202393
749,NDY-003_750,train,
750,NDY-003_751,train,
751,NDY-003_752,train,
752,NDY-003_753,train,
753,NDY-003_754,train,
754,NDY-003_755,train,
755,NDY-003_756,train,
756,NDY-003_757,train,
757,NDY-003_758,train,
758,NDY-003_759,test,0.015373170375823975
759,NDY-003_760,train,
760,NDY-003_761,train,
761,NDY-003_762,train,
762,NDY-003_763,train,
763,NDY-003_764,train,
764,NDY-003_765,train,
765,NDY-003_766,train,
766,NDY-003_767,train,
767,NDY-003_768,train,
768,NDY-003_769,train,
769,NDY-003_770,train,
770,NDY-003_771,train,
771,NDY-003_772,train,
772,NDY-003_773,train,
773,NDY-003_774,train,
774,NDY-003_775,train,
775,NDY-003_776,train,
776,NDY-003_777,test,0.9392645359039307
777,NDY-003_778,train,
778,NDY-003_779,train,
779,NDY-003_780,train,
780,NDY-003_781,test,0.039234161376953125
781,NDY-003_782,train,
782,NDY-003_783,train,
783,NDY-003_784,train,
784,NDY-003_785,train,
785,NDY-003_786,train,
786,NDY-003_787,train,
787,NDY-003_788,train,
788,NDY-003_789,train,
789,NDY-003_790,train,
790,NDY-003_791,train,
791,NDY-003_792,test,0.007181763648986816
792,NDY-003_793,train,
793,NDY-003_794,train,
794,NDY-003_795,train,
795,NDY-003_796,train,
796,NDY-003_797,train,
797,NDY-003_798,train,
798,NDY-003_799,train,
799,NDY-003_800,train,
800,NDY-003_801,test,0.020849645137786865
801,NDY-003_802,train,
802,NDY-003_803,train,
803,NDY-003_804,train,
804,NDY-003_805,train,
805,NDY-003_806,train,
806,NDY-003_807,train,
807,NDY-003_808,train,
808,NDY-003_809,train,
809,NDY-003_810,train,
810,NDY-003_811,train,
811,NDY-003_812,train,
812,NDY-003_813,train,
813,NDY-003_814,train,
814,NDY-003_815,train,
815,NDY-003_816,train,
816,NDY-003_817,train,
817,NDY-003_818,train,
818,NDY-003_819,train,
819,NDY-003_820,train,
820,NDY-003_821,train,
821,NDY-003_822,train,
822,NDY-003_823,train,
823,NDY-003_824,train,
824,NDY-003_825,train,
825,NDY-003_826,train,
826,NDY-003_827,train,
827,NDY-003_828,train,
828,NDY-003_829,train,
829,NDY-003_830,train,
830,NDY-003_831,train,
831,NDY-003_832,test,0.010589063167572021
832,NDY-003_833,train,
833,NDY-003_834,train,
834,NDY-003_835,train,
835,NDY-003_836,train,
836,NDY-003_837,train,
837,NDY-003_838,train,
838,NDY-003_839,train,
839,NDY-003_840,train,
840,NDY-003_841,train,
841,NDY-003_842,train,
842,NDY-003_843,test,0.006908774375915527
843,NDY-003_844,test,0.012793660163879395
844,NDY-003_845,train,
845,NDY-003_846,train,
846,NDY-003_847,train,
847,NDY-003_848,train,
848,NDY-003_849,train,
849,NDY-003_850,train,
850,NDY-003_851,train,
851,NDY-003_852,train,
852,NDY-003_853,train,
853,NDY-003_854,test,0.989996075630188
854,NDY-003_855,train,
855,NDY-003_856,train,
856,NDY-003_857,train,
857,NDY-003_858,train,
858,NDY-003_859,train,
859,NDY-003_860,train,
860,NDY-003_861,train,
861,NDY-003_862,test,0.01313793659210205
862,NDY-003_863,train,
863,NDY-003_864,train,
864,NDY-003_865,train,
865,NDY-003_866,train,
866,NDY-003_867,train,
867,NDY-003_868,train,
868,NDY-003_869,train,
869,NDY-003_870,train,
870,NDY-003_871,train,
871,NDY-003_872,train,
872,NDY-003_873,train,
873,NDY-003_874,train,
874,NDY-003_875,train,
875,NDY-003_876,train,
876,NDY-003_877,train,
877,NDY-003_878,train,
878,NDY-003_879,train,
879,NDY-003_880,test,0.9879416823387146
880,NDY-003_881,train,
881,NDY-003_882,train,
882,NDY-003_883,train,
883,NDY-003_884,train,
884,NDY-003_885,train,
885,NDY-003_886,train,
886,NDY-003_887,train,
887,NDY-003_888,train,
888,NDY-003_889,train,
889,NDY-003_890,train,
890,NDY-003_891,train,
891,NDY-003_892,train,
892,NDY-003_893,train,
893,NDY-003_894,train,
894,NDY-003_895,train,
895,NDY-003_896,train,
896,NDY-003_897,test,0.9815277457237244
897,NDY-003_898,train,
898,NDY-003_899,train,
899,NDY-003_900,train,
900,NDY-003_901,train,
901,NDY-003_902,train,
902,NDY-003_903,test,0.002897322177886963
903,NDY-003_904,train,
904,NDY-003_905,train,
905,NDY-003_906,train,
906,NDY-003_907,train,
907,NDY-003_908,train,
908,NDY-003_909,train,
909,NDY-003_910,train,
910,NDY-003_911,train,
911,NDY-003_912,test,0.0044168829917907715
912,NDY-003_913,train,
913,NDY-003_914,train,
914,NDY-003_915,train,
915,NDY-003_916,train,
916,NDY-003_917,train,
917,NDY-003_918,train,
918,NDY-003_919,train,
919,NDY-003_920,train,
920,NDY-003_921,train,
921,NDY-003_922,train,
922,NDY-003_923,train,
923,NDY-003_924,train,
924,NDY-003_925,train,
925,NDY-003_926,train,
926,NDY-003_927,test,0.1963396668434143
927,NDY-003_928,train,
928,NDY-003_929,test,0.012983143329620361
929,NDY-003_930,train,
930,NDY-003_931,train,
931,NDY-003_932,train,
932,NDY-003_933,train,
933,NDY-003_934,train,
934,NDY-003_935,train,
935,NDY-003_936,train,
936,NDY-003_937,train,
937,NDY-003_938,train,
938,NDY-003_939,train,
939,NDY-003_940,train,
940,NDY-003_941,train,
941,NDY-003_942,train,
942,NDY-003_943,train,
943,NDY-003_944,test,0.9702483415603638
944,NDY-003_945,train,
945,NDY-003_946,train,
946,NDY-003_947,train,
947,NDY-003_948,train,
948,NDY-003_949,train,
949,NDY-003_950,train,
950,NDY-003_951,train,
951,NDY-003_952,train,
952,NDY-003_953,test,0.019572973251342773
953,NDY-003_954,test,0.9922605156898499
954,NDY-003_955,train,
955,NDY-003_956,train,
956,NDY-003_957,train,
957,NDY-003_958,train,
958,NDY-003_959,train,
959,NDY-003_960,test,0.0731271505355835
960,NDY-003_961,train,
961,NDY-003_962,train,
962,NDY-003_963,train,
963,NDY-003_964,train,
964,NDY-003_965,train,
965,NDY-003_966,train,
966,NDY-003_967,train,
967,NDY-003_968,test,0.0021210908889770508
968,NDY-003_969,train,
969,NDY-003_970,train,
970,NDY-003_971,train,
971,NDY-003_972,train,
972,NDY-003_973,train,
973,NDY-003_974,train,
974,NDY-003_975,train,
975,NDY-003_976,train,
976,NDY-003_977,train,
977,NDY-003_978,test,0.9683209657669067
978,NDY-003_979,train,
979,NDY-003_980,train,
980,NDY-003_981,train,
981,NDY-003_982,train,
982,NDY-003_983,train,
983,NDY-003_984,train,
984,NDY-003_985,train,
985,NDY-003_986,train,
986,NDY-003_987,train,
987,NDY-003_988,train,
988,NDY-003_989,train,
989,NDY-003_990,train,
990,NDY-003_991,train,
991,NDY-003_992,test,0.9845255017280579
992,NDY-003_993,train,
993,NDY-003_994,test,0.9500521421432495
994,NDY-003_995,train,
995,NDY-003_996,train,
996,NDY-003_997,train,
997,NDY-003_998,train,
998,NDY-003_999,train,
999,NDY-003_1000,train,
1000,NDY-003_1001,test,0.004804670810699463
1001,NDY-003_1002,train,
1002,NDY-003_1003,train,
1003,NDY-003_1004,train,
1004,NDY-003_1005,train,
1005,NDY-003_1006,train,
1006,NDY-003_1007,train,
1007,NDY-003_1008,train,
1008,NDY-003_1009,train,
1009,NDY-003_1010,train,
1010,NDY-003_1011,train,
1011,NDY-003_1012,train,
