document,comment_id,type,start,end,comment,flausch,translated,id
NDY-003,36,compliment,106,122,"das Lied ist so cool ♥ wir hören das schon den GANZEN tag ♥ ♥ ♥ ♥ Ihr seid echt die besten , Jungs :D und ihr könnt singen , hört nicht auf die die sagen ihr könnt nicht singen !! ;) Lieben Euch 33",yes,"the song is so cool ♥ we hear that already the whole day ♥ ♥ ♥ ♥ You are really the best , guys :D and you can sing , don't listen to those who say you can't sing !! ;) Love you 33",NDY-003_36
NDY-003,36,encouragement,125,182,"das Lied ist so cool ♥ wir hören das schon den GANZEN tag ♥ ♥ ♥ ♥ Ihr seid echt die besten , Jungs :D und ihr könnt singen , hört nicht auf die die sagen ihr könnt nicht singen !! ;) Lieben Euch 33",yes,"the song is so cool ♥ we hear that already the whole day ♥ ♥ ♥ ♥ You are really the best , guys :D and you can sing , don't listen to those who say you can't sing !! ;) Love you 33",NDY-003_36
NDY-003,36,affection declaration,183,197,"das Lied ist so cool ♥ wir hören das schon den GANZEN tag ♥ ♥ ♥ ♥ Ihr seid echt die besten , Jungs :D und ihr könnt singen , hört nicht auf die die sagen ihr könnt nicht singen !! ;) Lieben Euch 33",yes,"the song is so cool ♥ we hear that already the whole day ♥ ♥ ♥ ♥ You are really the best , guys :D and you can sing , don't listen to those who say you can't sing !! ;) Love you 33",NDY-003_36
NDY-003,37,positive feedback,0,17,Super Jungs ( ( : Weiter soo 3,yes,Super guys ( : Continued soo 3,NDY-003_37
NDY-003,37,encouragement,18,30,Super Jungs ( ( : Weiter soo 3,yes,Super guys ( : Continued soo 3,NDY-003_37
NDY-003,38,positive feedback,0,46,Habs hetzt auf meinem iPhone und iPod * ____ *,yes,Got rushed on my iPhone and iPod * ____ *,NDY-003_38
NDY-003,40,positive feedback,0,15,echt hammer gut,yes,Real hammer good,NDY-003_40
NDY-003,45,affection declaration,0,85,Wenn ich dieses lied höre spielt mein herz auch verrück weil ich euch dann sehe ;) ;*,yes,When I hear this song my heart also plays crazy because I see you ;) ;*,NDY-003_45
NDY-003,49,affection declaration,0,41,gott heiko mit seinem süßen lächeln * - *,yes,God heiko with his sweet smile * - *,NDY-003_49
NDY-003,50,positive feedback,0,18,Riiiichtig geil :D,yes,Rijichtig horny :D,NDY-003_50
NDY-003,51,positive feedback,71,83,"Also man braucht nicht drum rum reden , es ist von Alexi Bexi ! ABER ! Es ist gut ! Das einzige , was ihr ändern solltet ist , der Videotitel . Der ist nämlich komplett gleich , wie bei den videos von alexibexi ... LG",yes,"So you don't need to talk about it, it's from Alexi Bexi! BUT! It's good! The only thing you should change is, the video title. That's because it's completely the same, as with the videos of alexibexi ... LG",NDY-003_51
NDY-003,52,positive feedback,0,4,cool bitte schreibt zurückkk,yes,cool please write back,NDY-003_52
NDY-003,53,positive feedback,77,104,Drückt mal die 4 :D während das Video läuft : D hehe hab jz sau lachflash :D aber trz . mag ich das lied,yes,Press the 4:D while the video is running: D hehe hab jz sau lachflash:D but trz. I like the song,NDY-003_53
NDY-003,56,affection declaration,0,32,Ihr seid einfach der Hammer !!!!,yes,You are simply the hammer !!!!,NDY-003_56
NDY-003,57,compliment,0,37,Ich find euch geil wie das viedio ;-) könnt ja mal meine viedios ankuken sind nur 2 traurige aber egal könnt dan ja wen ihrs gut fantet daumen hoch machen und vieleicht komentar wäre net :),yes,I find you horny like the viedio ;-) can my viedios ankuken are only 2 sad but no matter who you can make well fantet daumen up and many cometar would be net :),NDY-003_57
NDY-003,57,positive feedback,0,37,Ich find euch geil wie das viedio ;-) könnt ja mal meine viedios ankuken sind nur 2 traurige aber egal könnt dan ja wen ihrs gut fantet daumen hoch machen und vieleicht komentar wäre net :),yes,I find you horny like the viedio ;-) can my viedios ankuken are only 2 sad but no matter who you can make well fantet daumen up and many cometar would be net :),NDY-003_57
NDY-003,58,positive feedback,0,65,ihr übersetzt immer die Lieder die ich mag finde ich irgenwie lol,yes,you always translate the songs I like I find somehow lol,NDY-003_58
NDY-003,63,agreement,13,15,@ShadiToMars ja . Ich muss dir recht geben ...,yes,@ShadiToMars yes . I have to agree with you ...,NDY-003_63
NDY-003,63,agreement,18,42,@ShadiToMars ja . Ich muss dir recht geben ...,yes,@ShadiToMars yes . I have to agree with you ...,NDY-003_63
NDY-003,69,affection declaration,0,41,heiko hat voll das süße lächeln * - * : d hehe,yes,heiko has the sweet smile * - * : d hehe,NDY-003_69
NDY-003,70,compliment,0,19,hamma stimme * __ *,yes,hamma vote * __ *,NDY-003_70
NDY-003,75,positive feedback,0,26,refrain ist am Besten ;* * ihr seid voll süßß und Geil ;D 3,yes,Refrain is best ;* * you are full of sweet and horny ;D 3,NDY-003_75
NDY-003,75,affection declaration,27,59,refrain ist am Besten ;* * ihr seid voll süßß und Geil ;D 3,yes,Refrain is best ;* * you are full of sweet and horny ;D 3,NDY-003_75
NDY-003,77,compliment,11,41,"@DieLochis Erstmal ein großes Lob an euch , eure Stimmen hören sich im Vergleich zu den ersten Videos viel besser an ! macht weiter . Ich hätte mal eine frage : Ich hab gelesen das Roman Gitarre spielt . Mich würde interessieren ob ihr mal ein Akkustik-Cover oder so etwas machen könnt !",yes,"@DieLochis First of all a big praise to you, your voices sound much better compared to the first videos ! continues ! I would like to ask: I read the novel playing guitar . I would be interested if you can do a battery cover or something !",NDY-003_77
NDY-003,77,compliment,44,116,"@DieLochis Erstmal ein großes Lob an euch , eure Stimmen hören sich im Vergleich zu den ersten Videos viel besser an ! macht weiter . Ich hätte mal eine frage : Ich hab gelesen das Roman Gitarre spielt . Mich würde interessieren ob ihr mal ein Akkustik-Cover oder so etwas machen könnt !",yes,"@DieLochis First of all a big praise to you, your voices sound much better compared to the first videos ! continues ! I would like to ask: I read the novel playing guitar . I would be interested if you can do a battery cover or something !",NDY-003_77
NDY-003,77,encouragement,119,131,"@DieLochis Erstmal ein großes Lob an euch , eure Stimmen hören sich im Vergleich zu den ersten Videos viel besser an ! macht weiter . Ich hätte mal eine frage : Ich hab gelesen das Roman Gitarre spielt . Mich würde interessieren ob ihr mal ein Akkustik-Cover oder so etwas machen könnt !",yes,"@DieLochis First of all a big praise to you, your voices sound much better compared to the first videos ! continues ! I would like to ask: I read the novel playing guitar . I would be interested if you can do a battery cover or something !",NDY-003_77
NDY-003,80,positive feedback,0,26,cool ich liebe das lied :D,yes,cool I love the song :D,NDY-003_80
NDY-003,85,ambiguous,0,3,omg,yes,omg,NDY-003_85
NDY-003,88,positive feedback,0,51,Geil Geil Geil Geil Geil Geil Geil Geil Geil :* * * Ihr seid der Hamma * - * ;),yes,Horny Horny Horny Horny Horny Horny Horny Horny Horny :* * * You are the Hamma * - * ;),NDY-003_88
NDY-003,88,affection declaration,52,79,Geil Geil Geil Geil Geil Geil Geil Geil Geil :* * * Ihr seid der Hamma * - * ;),yes,Horny Horny Horny Horny Horny Horny Horny Horny Horny :* * * You are the Hamma * - * ;),NDY-003_88
NDY-003,90,affection declaration,0,7,* - * 3 Sehrrrr toll ( ( : Ich höre das den ganzen Tag x3,yes,* - * 3 Very great ( : I hear this all day x3,NDY-003_90
NDY-003,90,positive feedback,8,26,* - * 3 Sehrrrr toll ( ( : Ich höre das den ganzen Tag x3,yes,* - * 3 Very great ( : I hear this all day x3,NDY-003_90
NDY-003,90,positive feedback,27,57,* - * 3 Sehrrrr toll ( ( : Ich höre das den ganzen Tag x3,yes,* - * 3 Very great ( : I hear this all day x3,NDY-003_90
NDY-003,91,compliment,12,52,"@ScOuTii123 Woww , dass war jtz aber mal überzeugend , und hübsch sinndse auch , vor allen dingen ROman , derr hat nämlich anders 'de Haare geschnitten ;) Lieb Euch ♥",yes,"@ScOuTii123 Woww , that was jtz but once convincing , and pretty meanings too , before all things ROman , who has cut differently 'de hair ;) Love you ♥",NDY-003_91
NDY-003,91,affection declaration,59,154,"@ScOuTii123 Woww , dass war jtz aber mal überzeugend , und hübsch sinndse auch , vor allen dingen ROman , derr hat nämlich anders 'de Haare geschnitten ;) Lieb Euch ♥",yes,"@ScOuTii123 Woww , that was jtz but once convincing , and pretty meanings too , before all things ROman , who has cut differently 'de hair ;) Love you ♥",NDY-003_91
NDY-003,91,affection declaration,155,166,"@ScOuTii123 Woww , dass war jtz aber mal überzeugend , und hübsch sinndse auch , vor allen dingen ROman , derr hat nämlich anders 'de Haare geschnitten ;) Lieb Euch ♥",yes,"@ScOuTii123 Woww , that was jtz but once convincing , and pretty meanings too , before all things ROman , who has cut differently 'de hair ;) Love you ♥",NDY-003_91
NDY-003,92,positive feedback,29,30,Ich Lispel auch meisteens :D ♥ Habe euuch auf Facebook gepostet ;* * ;),yes,I Lispel also mostly :D ♥ I posted you on Facebook ;* * ;),NDY-003_92
NDY-003,92,positive feedback,64,71,Ich Lispel auch meisteens :D ♥ Habe euuch auf Facebook gepostet ;* * ;),yes,I Lispel also mostly :D ♥ I posted you on Facebook ;* * ;),NDY-003_92
NDY-003,93,affection declaration,0,19,Ihr seid die besten ich kann dieses lied jetzt shon auswendig ich liebe euch -3 - 3,yes,You are the best I can do this song now shon by heart I love you -3 - 3,NDY-003_93
NDY-003,93,positive feedback,20,61,Ihr seid die besten ich kann dieses lied jetzt shon auswendig ich liebe euch -3 - 3,yes,You are the best I can do this song now shon by heart I love you -3 - 3,NDY-003_93
NDY-003,93,affection declaration,62,83,Ihr seid die besten ich kann dieses lied jetzt shon auswendig ich liebe euch -3 - 3,yes,You are the best I can do this song now shon by heart I love you -3 - 3,NDY-003_93
NDY-003,96,positive feedback,64,69,Könnt ihr nicht mal ein accoustic cover mit Mir machen ? :-DDDD :-* * spiele auch gittarre * _________________ *,yes,Can't you even make an acoustic cover with me? :-DDDD :-* * also play guitar * __________________,NDY-003_96
NDY-003,96,positive feedback,91,112,Könnt ihr nicht mal ein accoustic cover mit Mir machen ? :-DDDD :-* * spiele auch gittarre * _________________ *,yes,Can't you even make an acoustic cover with me? :-DDDD :-* * also play guitar * __________________,NDY-003_96
NDY-003,99,positive feedback,4,41,und das singt ihr wirklich selber respekt macht weiter so,yes,And that you really do respect yourself continue to sing like this,NDY-003_99
NDY-003,99,encouragement,42,57,und das singt ihr wirklich selber respekt macht weiter so,yes,And that you really do respect yourself continue to sing like this,NDY-003_99
NDY-003,100,positive feedback,0,11,Wohaa * - *,yes,Wohaa * - *,NDY-003_100
NDY-003,101,positive feedback,0,67,"Ich fande das Lied so scheiße , bis ich dass von euch gehört habe ! Es ist besser als das Orginal und ihr sind besser als jeder Erwachsener . Hoffe ihr Übersetzt noch andere Liede . z . B von ustin Bieber",yes,I thought the song was so shitty until I heard about you! It's better than the original and you're better than any adult. Hope her translation still other songs. e.g. by ustin Bieber,NDY-003_101
NDY-003,101,positive feedback,68,97,"Ich fande das Lied so scheiße , bis ich dass von euch gehört habe ! Es ist besser als das Orginal und ihr sind besser als jeder Erwachsener . Hoffe ihr Übersetzt noch andere Liede . z . B von ustin Bieber",yes,I thought the song was so shitty until I heard about you! It's better than the original and you're better than any adult. Hope her translation still other songs. e.g. by ustin Bieber,NDY-003_101
NDY-003,101,compliment,102,139,"Ich fande das Lied so scheiße , bis ich dass von euch gehört habe ! Es ist besser als das Orginal und ihr sind besser als jeder Erwachsener . Hoffe ihr Übersetzt noch andere Liede . z . B von ustin Bieber",yes,I thought the song was so shitty until I heard about you! It's better than the original and you're better than any adult. Hope her translation still other songs. e.g. by ustin Bieber,NDY-003_101
NDY-003,101,encouragement,142,204,"Ich fande das Lied so scheiße , bis ich dass von euch gehört habe ! Es ist besser als das Orginal und ihr sind besser als jeder Erwachsener . Hoffe ihr Übersetzt noch andere Liede . z . B von ustin Bieber",yes,I thought the song was so shitty until I heard about you! It's better than the original and you're better than any adult. Hope her translation still other songs. e.g. by ustin Bieber,NDY-003_101
NDY-003,102,encouragement,0,40,meldet euch BITTE bei Das Supertalent an .,yes,PLEASE sign up for The Super Talent.,NDY-003_102
NDY-003,103,positive feedback,0,97,"Das Lied von Bruno Mars-It will rain ist mega lustig gemacht worden von euch mit diesem Toastbrot , ihr wart extra bei Nettoeswegen",yes,"The song of Bruno Mars-It will rain has been made mega fun of by you with this toast bread , you were extra at Netteswegen",NDY-003_103
NDY-003,104,affection declaration,102,130,wie alt seid ihr eigentlich ? wüsste ich gerne mal weil ihr mir so vorkommt wie so 10 - 14 jährige :) ich finde euch bissel süß :),yes,how old are you anyway ? I would like to know because you seem to me like 10 - 14 years old :) I find you biting sweet :),NDY-003_104
NDY-003,107,positive feedback,0,16,geiler shit ! ;),yes,horny shit ! ;),NDY-003_107
NDY-003,108,positive feedback,0,10,Schon cool aber ... nich ganz alles getroffen macht weiter so ! :),yes,Already cool but ... not quite all hit continues like this ! :),NDY-003_108
NDY-003,108,encouragement,46,66,Schon cool aber ... nich ganz alles getroffen macht weiter so ! :),yes,Already cool but ... not quite all hit continues like this ! :),NDY-003_108
NDY-003,111,positive feedback,0,79,Woher hast du den Weißen Pulli ?? * - * :D ich will auch soo Einen * ________ *,yes,Where did you get the white sweater ?? * - * :D I want a soo * _______ *,NDY-003_111
NDY-003,111,positive feedback,67,79,Woher hast du den Weißen Pulli ?? * - * :D ich will auch soo Einen * ________ *,yes,Where did you get the white sweater ?? * - * :D I want a soo * _______ *,NDY-003_111
NDY-003,115,positive feedback,0,8,Taugt :),yes,Haunted :),NDY-003_115
NDY-003,118,compliment,82,109,@ScOuTii123 Halte dish mal raus is ja shön und gut dass du so hinter ihnen stehst ish finde sie aush voll gut und so aber ish ficke hier nish gleish jeden an der nenn sheiss koment . abgibt ... - . -,yes,@ScOuTii123 Hold theish out is yes shön and good that you stand so behind them ish find them aush fully good and so but ish fuck here nish gleish everyone at the nann hot koment. surrenders ... - .,NDY-003_118
NDY-003,121,positive feedback,0,13,voll genial ! ihr seit echt voll süß ! :-D weiter so !,yes,full awesome ! you since really full sweet ! :-D continue like this !,NDY-003_121
NDY-003,121,affection declaration,14,42,voll genial ! ihr seit echt voll süß ! :-D weiter so !,yes,full awesome ! you since really full sweet ! :-D continue like this !,NDY-003_121
NDY-003,121,encouragement,43,54,voll genial ! ihr seit echt voll süß ! :-D weiter so !,yes,full awesome ! you since really full sweet ! :-D continue like this !,NDY-003_121
NDY-003,123,positive feedback,0,6,goil ♥,yes,goil ♥,NDY-003_123
NDY-003,127,positive feedback,74,85,"@dielochis sollte ich mich angesprochen fühlen ?! hahaha nein , quatsch ! Tolles lied ihr seid super ;D",yes,"@dielochis should I feel addressed ?! hahaha no, chatty ! Great song you are great ;D",NDY-003_127
NDY-003,127,affection declaration,86,103,"@dielochis sollte ich mich angesprochen fühlen ?! hahaha nein , quatsch ! Tolles lied ihr seid super ;D",yes,"@dielochis should I feel addressed ?! hahaha no, chatty ! Great song you are great ;D",NDY-003_127
NDY-003,129,positive feedback,43,67,seid ihr zwillinge oder brüder oder so ??? tolles lied i like it :D,yes,are you twins or brothers or something ??? great song i like it :D,NDY-003_129
NDY-003,130,positive feedback,0,38,Nicht schlecht muss ich echt sagen :)) und süß seid ihr auch :)),yes,Not bad I really have to say :)) and sweet you are also :)),NDY-003_130
NDY-003,130,affection declaration,43,64,Nicht schlecht muss ich echt sagen :)) und süß seid ihr auch :)),yes,Not bad I really have to say :)) and sweet you are also :)),NDY-003_130
NDY-003,132,affection declaration,0,18,heiko ist voll süß ich hab das lied von denen auf meinem handy die sind voll süß und können gut singen,yes,heiko is sweet I have the song of those on my phone they are sweet and can sing well,NDY-003_132
NDY-003,132,implicit,19,62,heiko ist voll süß ich hab das lied von denen auf meinem handy die sind voll süß und können gut singen,yes,heiko is sweet I have the song of those on my phone they are sweet and can sing well,NDY-003_132
NDY-003,132,affection declaration,63,102,heiko ist voll süß ich hab das lied von denen auf meinem handy die sind voll süß und können gut singen,yes,heiko is sweet I have the song of those on my phone they are sweet and can sing well,NDY-003_132
NDY-003,132,compliment,63,102,heiko ist voll süß ich hab das lied von denen auf meinem handy die sind voll süß und können gut singen,yes,heiko is sweet I have the song of those on my phone they are sweet and can sing well,NDY-003_132
NDY-003,133,affection declaration,0,23,wow ihr seid echt super,yes,wow you're really super,NDY-003_133
NDY-003,135,affection declaration,0,26,Der mit dem weißen ist süß,yes,The one with the white one is cute,NDY-003_135
NDY-003,137,implicit,9,86,"@svenii0 wir hatten es schon auf dem Handy , einen Tag nachdem es raus gekommen ist ;)",yes,"@svenii0 we had it already on the phone, one day after it came out ;)",NDY-003_137
NDY-003,142,positive feedback,5,30,Also ich finde euer Gesang gut keine ahnung was die anderen haben Seit ihr eigendlih geschwister ??,yes,So I don't think your singing is a good idea what the others have since their own brother??,NDY-003_142
NDY-003,143,compliment,0,10,respekt :O,yes,respect :O,NDY-003_143
NDY-003,144,positive feedback,0,29,ich finds garnich so schlecht weiß garnich was ihr habt ô. o wenns euch nich passt machts doch ma besser,yes,"I think it's so bad, I know what you've got. o if you don't like it makes it better",NDY-003_144
NDY-003,147,positive feedback,144,163,echtmal jeder der sagt das die schlecht sind einfach nur eifersüchtig weil sie können es nicht besser vvlt ist der text nicht ganz richtig aber es hört sich gut an ok jeden ton treffen sie nich immer,yes,real time everyone who says that the bad are just jealous because you can't get better vvlt the text isn't quite right but it sounds good ok every sound you don't always meet,NDY-003_147
NDY-003,148,positive feedback,0,14,richtig gut :),yes,really good :),NDY-003_148
NDY-003,150,positive feedback,0,23,Thihi voll niedlich : 3 * Daumen hoch *,yes,Thihi full cute : 3 * thumbs up *,NDY-003_150
NDY-003,150,positive feedback,24,39,Thihi voll niedlich : 3 * Daumen hoch *,yes,Thihi full cute : 3 * thumbs up *,NDY-003_150
NDY-003,152,encouragement,0,22,Immer weiterüben * - *,yes,Keep practicing * - *,NDY-003_152
NDY-003,153,encouragement,92,117,Ich einfach nur den Ausenseiter nach !! Mehr net sucht euch eigene Ideen den wird es besser einfach üben üben üben !!,yes,I just look for the outsider !! More net look for your own ideas that will practice it better simply practice !!,NDY-003_153
NDY-003,163,encouragement,131,146,An alle die das hassen halltet eure Fresse macht es besser ihr könnt nichts als dissen die Jungs sind besser als ihr alle zusammen macht weiter so ihr seit super,yes,Everyone who hates that echoes your face makes it better you can eat nothing but the guys are better than you all keep doing together so you've been super,NDY-003_163
NDY-003,163,affection declaration,147,161,An alle die das hassen halltet eure Fresse macht es besser ihr könnt nichts als dissen die Jungs sind besser als ihr alle zusammen macht weiter so ihr seit super,yes,Everyone who hates that echoes your face makes it better you can eat nothing but the guys are better than you all keep doing together so you've been super,NDY-003_163
NDY-003,164,positive feedback,32,40,thaha die aters sind eifer . ;) ich mags,yes,thhaha the aters are jealous. ;) I like,NDY-003_164
NDY-003,168,affection declaration,33,55,@DieLochisFans chillige sache :D ich finde die voll süß,yes,@TheLochisFans chilly thing :D I find the full sweet,NDY-003_168
NDY-003,169,affection declaration,20,37,@thebockel garnicht die sind voll süß,yes,@thebockel not at all they are full of sweet,NDY-003_169
NDY-003,170,positive feedback,3,6,:D süß,yes,:D sweet,NDY-003_170
NDY-003,174,affection declaration,0,18,oh seid ihr süß :D,yes,Oh are you cute :D,NDY-003_174
NDY-003,183,positive feedback,0,6,* __ *,yes,* __ *,NDY-003_183
