phrase,label
LOL,ambiguous
+ BIG Sem,not
alter die lochlis sint coll,affection declaration
also schimp sie nicht nur weils dir nicht gefällt muss den anderen das auch nicht langweilig sein,not
Super Songparodie 😍,positive feedback
Macht weiter so !!,encouragement
Ich liebe eure Songparodien !!!,positive feedback
Die Bildtechnik und der Schnitt sind super gut !!! 👍,positive feedback
Ich feier einfach eure Videos !!,positive feedback
LG Lauras Welt,not
* knuff * =),affection declaration
du siehst so toll aus ! :*,compliment
nice,positive feedback
Hey Lochis bewerbt euch doch mal bei Voice of Germany oder so,encouragement
der typ is eh voll der weiberheld :D,not
ich find dich klasse man =D,affection declaration
du bist echt geil drauf ^^,compliment
* fan bin *,affection declaration
das leid ist gut,positive feedback
Deine Frisur is super schön :)),compliment
kannst du dazu ein Tutorial machen ?,not
Geile Parodie,positive feedback
... aber könnt ihr auch ne Parodie von WENN DU SCHLÄFST von MAX JOHANN FEAT VINCENT machen ..... ?,not
5Sterne auch von mir Sami ;),positive feedback
Sami du bist so süss,affection declaration
mag deine videos total :),positive feedback
super xDD,positive feedback
liebe grüße 333,not
suuuuuper,positive feedback
Maaagaa Cool ;)) ;D,positive feedback
Schön,positive feedback
Die lieder finde ich super,positive feedback
Cool Cool Cool Geil Geil Geil !!!!!!!!!,positive feedback
Ich höre mir diese Parodie schon zum 10. mal an und ich kann sie schon in und auswendig 💗 💗 💗,positive feedback
mega gut 💖 💖 💖,positive feedback
"Haha ,",not
wie du dich verändert hast 💓 Aber ins positive 🙈,compliment
echt cool,positive feedback
ich finde das lied cool,positive feedback
.,not
ich finde die lochis cool,affection declaration
5 Sterne :),positive feedback
+ Sonique Malke,not
jaaaaaa * _____ *,agreement
Du bist Mega schön ! 😍 😘 💖,compliment
Die lochis sind voll cool,affection declaration
Endlich habt ihr mak wieder ein lied gemacht,compliment
Wie immer mega geil,positive feedback
geil,positive feedback
Ihr seid die besten,affection declaration
i love lochis,affection declaration
"Ohweh , selbst gespielt bricht einem bei so einem blick fast das Herz … .",not
Aber amüsant,positive feedback
". Und zu den ganzen Idioten die hier rumjammern mit ihren super Rechtschreibkenntnissen und ihrem Fehlenden Humor : Lest erstmal die Überschrift und dann fragt euch warum hier so viele Kerle ihre inkompetentes Kommentar abgeben . Macht es selber besser , sowohl als fun als auch ein ernstes . Dann könnt ihr urteilen",not
Yeeey lucaa !,affection declaration
coole Lieder,positive feedback
Leute lasst die doch machen was sie wollen !! Hört doch auf die Runterzumachen !!,not
Also ich find´s Witzig :D,positive feedback
geil,positive feedback
Geiles Video,positive feedback
...,not
bitte mehr davon !! 👍,encouragement
Eure stimme ist echt cool ;),compliment
"Hey , würde mich über ein Video zu deinem Make up freuen .",not
Soooooo hübsch !,compliment
Total Affengeil,positive feedback
macht schön weiter Jungs ♥,encouragement
Ich habe nie so viel Zeit wie das Mädchen 😂 👍🏻,not
❤,positive feedback
Trotzdem ist das Lied cool,positive feedback
", auch wenn es nicht böse gemeint ist , und nerve die beiden nicht . :P",not
Dein make up und deine haare sehen heute voll toll aus,compliment
kannst du ein toutorial davon machen ? :)),not
Hi lochis ihr seid geil,affection declaration
In diesem Video siehst du echt gut aus ! : o,compliment
.. kannst du vllt mal ein Tutorial zu dem Make up filmen was du in diesem Video trägst ? :),not
:-*,positive feedback
Mal wieder ein voll cooles Video,positive feedback
+ Monica Ventura,not
Ja du hast volkommen recht !,agreement
Es ist total egel ob du Selena Gomez magst oder hast,not
Ich zum beispiel mag Selena Gomez sehr gerne,affection declaration
ich höre ihr Musik gerne und so,positive feedback
. Aber wenn jemand dann sagt das Luna scheiße singt verstehe ich die Welt nicht mehr,not
Ich bin erst vor kurzem auf dein Kanal gestoßen und es war einfach das beste was mir geschehen ist,positive feedback
du bist so hübsch bescheiden und einfach die Beste 😍,affection declaration
,not
du bist so hübsch bescheiden,compliment
und einfach die Beste 😍,not
Ich liebe euch 😍,affection declaration
Einfach ~ Geil ~ !,positive feedback
Das Lied ist auch so cool,positive feedback
.,not
#Superarbeit,compliment
Mega cool !!!,positive feedback
30 min 😂 😂 😬 👌🏻 ❤,not
❤,positive feedback
wie soll man bei so nem geilen lied schlafen 😉,positive feedback
hey jungs,not
echt mega geil gesungen echt voll toll 3,compliment
geil,positive feedback
Cool ♡,positive feedback
hotties :D,affection declaration
omg das Video berührt echt voll,positive feedback
und,not
ernsthaft ? DU SINGST DAS ?,implicit
Interessant ^^,positive feedback
Ich finds ganz gut,positive feedback
", aber meiner Meinung nach ; - Rose schenken beim erstes Date = keine gute Idee jedoch gut wennman schon zusammen ist -für sie zahlen beim Essen beim ersten Date = ganz schlechte Idee ebenfalls gut wenn man schon zusammen ist , aber bitte nicht davor weil so sich ziemlich versauen kann weil man das Mädchen dadurch unter druck setzt",not
-was wirklich gut war : nicht overdressed und nicht über ex-beziehungen reden = gute idee,positive feedback
Con Crafter | LUCA ich habe dich aboniert ☺ ☺,positive feedback
bist cool,affection declaration
soo früh dran ❤ ❤ ❤,not
hab euch soo lieb ❤ ❤ ❤ ❤,affection declaration
knuffig :D :*,positive feedback
"wow , du siehst super aus ! :)",compliment
Kenne sie seit 4 jahren,not
einer der wenigen nicht geldgeiernden youtouber,compliment
Con Crafter | LUCA Hi ✌🏻️ Was machst du denn hier 😂,not
😍 ❤️,positive feedback
"Wow , wie krass man aufeinmal merkt , was sich alles verändert hat . Ich bin schon ziemlich lange dabei , und ich muss sagen ,",not
ich habs garnicht so sehr gemerkt wie sich alles verbessert hat,positive feedback
", es wurde immer bisschen was verändert , aber so sehr hat man das garnicht bemerkt . So komisch zu sehen ,",not
"wie stark sich alles entwickelt hat . Auch Samis Gesten , vorallem sein Selbstvertrauen",compliment
,not
wie stark sich alles entwickelt hat,positive feedback
". Auch Samis Gesten , vorallem sein Selbstvertrauen . Als dieses Video entstanden ist , hatte er vielleicht gerade mal 100 Abonnenten , aber jetzt sind es einfach schon 1 Millionen .",not
Man kann echt stolz auf diesen Mann sein ☝🏼️,affection declaration
Mein Gott des is mitten im Stimmenbruch ihr lauchs- . -,not
also dafür is des schon gut,positive feedback
.,not
Richtig richtig gutes video !!,positive feedback
Wow ich bin sprachlos . ♡,positive feedback
collllllllllll,positive feedback
"Ich muss sagen , dieses Lied ist echt nicht so toll : s , aber",not
die haben Lieder die echt gut sind,positive feedback
". Außerdem , selbst wenn ich 12 wäre , wäre ich immernoch älter als du",not
coll,positive feedback
abonnieren Bitte,not
ma du schaust in dem video so schön aus !!,compliment
das beste viedio ever,positive feedback
lochis ihr seid geil,affection declaration
die Lieder werden immer besser,positive feedback
Seid die besten,affection declaration
"habt super Parodien , Singles , vs die vielen anderen Videos 😘 😘 😘",compliment
Ich mag die Videoidee wirklich,positive feedback
". Allerdings finde ich , dass man ihm nicht so gut folgen kann , wie die Videos , die du alleine machst .",not
Ich brauche morgens im bad immer 1.30 stunden .,not
❤️,positive feedback
"Bin sprachlos , echt mega gutes video . :)",positive feedback
Vielen Dank für 25 Abonennten am ersten Tag . Ich fühle mich überrumpelt . Das war 2009 . Heute wirst du wahrscheinlich die Millionen erreichen .,not
"Ich bin so unglaublich stolz auf dich , bae . ❤️",affection declaration
die lochis .,not
ihr seiht die besten,affection declaration
tolles viedio,positive feedback
geil,positive feedback
5:01 besste stelle ( Y ),positive feedback
lachflash xDDDDDDDDDDDDDDDDDD,not
cool,positive feedback
Ich liebe diese parodie ♥ - ♥,positive feedback
sau geil,positive feedback
Ihr seid echt gut,compliment
Respekt vor euch wie ihr des alles schafft mit der Schule und so,compliment
Respekt Respekt Respekt ! 😊 👍,compliment
ihr Hater seid doch einfach nur neidisch das ihr nicht so gute Videos macht . das Uhr nicht so viele Abonnenten habt und das ihr nicht so viele ließ bekommt . das Finden ich echt gemein von euch das ihr anderen nichts gönnt .,not
DieLochis sind sehr gute youtuber und haben das auch verdient ! !,compliment
Ich liebe deine Stimme . ♡ 》,compliment
#zwilling18 ❤ ✨ 💋,positive feedback
Haha lustiger Dreh 😂,positive feedback
geiloooo,positive feedback
Leute wir sind fast schon 2.000.000 Millionen Mega GEIL !! :),group membership
Ich liebe euch !!,affection declaration
....,not
Ihr seid so geil,affection declaration
hört Bitte nieeeeeeeee mit YouTube auf !!!,encouragement
Mega mega mega song mal wieder,positive feedback
Daumen hoch verdient !!!!,positive feedback
ALS ICH EUCH DAS ERSTE MAL BEI EUREM KONZERT WAR DAS SOOOO GEIL DAS WAR IN BERLIN !!!!,positive feedback
ICH WAR DAS KLEINE MÄDCHEN DAS EUCH ANGESPROCHEN HAT !!! :D,not
ICH BIN SOOO PROSITIV ÜBERRASCHT VON EUCH ♥,affection declaration
ihr seid ganz gut,compliment
und,not
der in dem weissen pulli ist ganz süß,affection declaration
nice,positive feedback
finde ich gut von dir,compliment
mach weiter,encouragement
lass dich von den anderen BLENDER nicht voll Labern .,not
roman ist sooo süß,affection declaration
geeeeeeeeiiiiiiiiiiiiiiiiiiiilllllllllllll ll,positive feedback
früher ein halbes Parfum verschenkt und heute iphone ipad und und und wer hätte das gedacht 😊 ♡,implicit
super coole Idee ! :),positive feedback
Wow macht so weiter,encouragement
Deine ' schnelldurchlauf ' -Stimme ist vooooll süüüüüüüßß * - *,compliment
"und da wo du so rumtanzt und dazu singst mim Nachthemd : OMG ich musste sooooo an Disney's Cinderella denken !!!! O. o :O :DD <3 also die stimme war so von dieser kleinen Maus-Frau , die immer näht : 3 und so des rumtanzen und -singen von Cinderella <3 :* :DDD nich böse gemeint ;)",not
ich fands soo MEGA SÜß ! * - * :DD,positive feedback
sehr sehr schöne Idee :)),positive feedback
tolles Video,positive feedback
Könnt ihr mal wieder WKA,encouragement
aww derbe süß xD .,positive feedback
Beste parody ever 😍,positive feedback
🙊 würde mich über eine Antwort magaaa freuen 💎,not
GEIL,positive feedback
alle hate r sind dumm ^^,not
Ihr könnt echt gut singen !!! 3333,compliment
<b>,not
wh Oa,positive feedback
</b>,not
du bist so wunderhübsch !,compliment
Ich liebe die Kunst in deinen Videos,positive feedback
...,not
Lara Zelinski,not
nein meiner 😈,affection declaration
♥ ♥ ♥ ♥,positive feedback
Soo süß dein erstes Video ^_^ :D,positive feedback
Oha ... Das war soo lol,positive feedback
...,not
Eigentlich wie immer,positive feedback
aber ich habe eine Frage warum macht ihr keine Parodien mehr ? ✌,not
SÜßßßßß 😍 😍 😍 😩 😫,positive feedback
Heiko und roman sehen mal wieder Hammer aus,compliment
die beiden sind so süß,affection declaration
ich liebe die beiden über alles,affection declaration
Uiiii richtig gut das video,positive feedback
hab dich lieb ! 👍 💋 ❤,affection declaration
mach weiter so ! ♡,encouragement
Läuft bei euch 😄 😁,compliment
wirklich süßes video !,positive feedback
Ich fand das Video sehr hilfreich !,positive feedback
"Freue mich schon darauf , einige von den Tipps auszuprobieren :)",positive feedback
cool,positive feedback
Voll cool,positive feedback
Hallo Roman,not
❤ ❤ ❤ ❤ 💟 💟 💜 💜 💜 💜,positive feedback
Einfach nur wow !!!,positive feedback
Das passt genau zu dir und,not
einfach wunderschönes videos genau wie du !,positive feedback
,not
einfach wunderschönes videos genau wie du !,compliment
Cool,positive feedback
COOL,positive feedback
MEIN LADEGERÄT IST AUCH WEG,not
süß ^.^,positive feedback
Du bist so hübsch !!,compliment
Und,not
ich liebe deine viedeos !! :* *,positive feedback
Und,not
sie sind immer hilfreich !!,positive feedback
+ Luna Darko,not
Du bist einfach die Hübscheste !! ❤,compliment
Ich schlafe am liebsten in na hotpen und nem großen t-schirt,not
dir steht die Mütze echt gut :),compliment
DieLochis ich liebe euch,affection declaration
ich liebe daniela katzenberger :D 3,affection declaration
haha,not
April 2013 !,not
Die Verlosung war ja suess ;-),positive feedback
❤ ❤ ❤ ❤,positive feedback
jaaaaa,positive feedback
teil 2. bitteeee 😍 😍 😍 😍,encouragement
EES als strenger Lehrer ! haha Wie cool ! :D,positive feedback
"Als dir die Träne runtergelaufen ist , kamen bei mir auch welche",positive feedback
.,not
Du bist eine so wunderschöne jubge Frau !,compliment
Und meine Lieblingsyoutuberin,affection declaration
.,not
Mach weiter so ! ♥,encouragement
Du bist so assi,not
die sind mega geil,affection declaration
Like bruder,positive feedback
ich mag dieses wiedio,positive feedback
Super Hilfreich :),positive feedback
Ich hasse diese fiesen Pickel ...,not
Ihr habt sooo ne tolle stimme,compliment
meeeegaaa über 1.8 millionen aufrufe,not
bin stolz auf euch 😘 😘 ❤ ❤,compliment
cool,positive feedback
Liebe euch,affection declaration
sweet,positive feedback
cooles Video,positive feedback
weiter so,encouragement
Richtig geil geworden,positive feedback
könnt ihr mal eine Parodie von Namika Lieblings Mensch machen,not
So niedlich :-),positive feedback
Wenn man das anschaut und deine jetzigen Videos .. : o unglaublich ! :) was für eine Entwicklung ! ( Y ),compliment
Halt dein mund,not
die singen gut,compliment
und ja,not
ich liebe die lieder von denen,positive feedback
also halt die klappe,not
der Film war so cool ey Mann,positive feedback
ihr seid sooooooo geil,affection declaration
love lochis,affection declaration
Voll cooles Video . Wie immer . 😘,positive feedback
gott ist des sooo süüß,positive feedback
des heute zu sehen früher ganz anders als jzt 🙊,not
💖,positive feedback
heute auf ne andere art voll süß als früher aber immer noch herzrasen 🙈 💓 💕,affection declaration
Tolle Jacke 👌🏼,compliment
#viovio,not
Tolles Video !,positive feedback
Ich finde du bist eine besondere Youtuberin 3,affection declaration
du machst Videos die nicht jeder macht und das finde ich so toll ❤️,compliment
mach weiter so . ⭐️,encouragement
Cool,positive feedback
das Video ist echt hammergeil geil,positive feedback
OMG,ambiguous
Das ist so wunder wunderschön 3,positive feedback
ochgeee wie süß du guckst :D,compliment
cooles lied,positive feedback
Find's echt geil :),positive feedback
geil,positive feedback
Boar jungs ich bin ein fan von euch,group membership
und ich bin in das lied verliebt,positive feedback
ich höre das lied jeden tag an weil das so geil ist,positive feedback
also ich habe noch was Em,not
heiko und Roman ich habt eine bessere stimme als bei denn anderen liedern,compliment
COOLES METALLICA SHERT,positive feedback
jaaaaaaaaaaaaaa 😍 😍 😍 😍 😍,positive feedback
Omg wie schüchtern du warst <b> - </b> voll süß ;),ambiguous
Tolles Video :)),positive feedback
Eure Stimmen sind echt der krasse Hammer :* ♥,compliment
+ DieLochis,not
und,not
deine frisur ist total toll,compliment
", gibts dazu mal ein tutorial ?",not
da waren ein paar gute tips dabei . werde ich mal ausprobieren . :),positive feedback
ich libe die lochis,affection declaration
Beste Parodie ever ❤️ ❤️ ❤️ ❤️ 💘 🙈 😍,positive feedback
"tolle , originelle Idee :)",positive feedback
immer wieder beeindruckend,positive feedback
Ihr seid soooooooooooooooooooooooooooooooooooooooooooo süß 😍 😍 😍 😍 😍 😍 😍 😍,affection declaration
"Es ist einfach unfassbar , wie du es mit deiner Stimme und deinem Video schaffst , die Menschen zu berühren !",compliment
Wunderschönes Video ! 😍,positive feedback
Es hat mich total gepackt und mitgenommen,positive feedback
... Mach &,not
Wenn ihr singt spielt spielt mein Herz verrückt,affection declaration
ich liebe euch,affection declaration
cool,positive feedback
Roman du kannst gut schauspielern 😜 😜 😜,compliment
Ich find sie cool * - *,positive feedback
Selber schlaf ich aber immer in alten Schlafanzugtshirts Es gab mal welche bei H M mit Enten drauf und bei Amazon gibt es auch ein paar ! :D,not
Unglaublich tolles Video !,positive feedback
So ausdrucksstark !,positive feedback
"Ich liebe es , ich liebe alle Arten von diesen Videos !",positive feedback
Danke das du meine Collage auf insta gepostet hast,gratitude
"... ich habe angefangen zu eine und bin dies Haus gesprungen mein Vater hat gefragt was los ist ... ich habe nicht geantowortet , zu versunken in meinen Gedanken !",not
💓,positive feedback
Ich finde euch toll,affection declaration
.,not
Wie jedes mal 5 * ^^,positive feedback
nice,positive feedback
guter song,positive feedback
ir . seid voll çool . ich . schwör 😘 😘 😎,affection declaration
Ich finds echt genial dass du mal so in der Art mit deiner Community zusammen gearbeitet hast :),compliment
"Ich hätt auch gern mitgemacht , hab nur leider das Video nicht mitbekommen :( Naja",not
"trotzdem klasse , werd gleich mal ein paar Tipps ausprobieren :D",positive feedback
-Yuuki,not
Heiko ich liebe dich,affection declaration
du bist der süßeste typ der welt,affection declaration
ich hoffe du liest das ich,not
hab bis jetzt alle videos von euch gesehen,positive feedback
und,not
hab euch auf Facebook gefunden B-),positive feedback
voll cool,positive feedback
Danke für die Review,gratitude
", jetzt weiß ich also , dass das Buch so ist , wie ich es erwartet habe . Ich investiere dann lieber in Schuhe oder so :D",not
Ihr seid voll cool,affection declaration
echt gut jungs,positive feedback
ihr seid echt zum totlachen !!,compliment
so geil,positive feedback
wie gut du aussiehst :),compliment
❤,positive feedback
nackisch :),not
Soooo süß 3,positive feedback
"Hier war der noch total normal , nicht so schwules benehmen",not
sympatisch,affection declaration
", und jetzt ist er geldgeil schwul und nervig !!!!!!!!",not
nice nice,positive feedback
cool,positive feedback
gefällt mir,positive feedback
einen Daumen hoch 👍 👍 👍 👍,positive feedback
Hamma,positive feedback
😘 😘 😘 😘 😘 😘 😘 😘 😘 😍 😍 😍 😍,positive feedback
Hammer,positive feedback
ihr seid der Hammer,affection declaration
Ich liebe diesen song,positive feedback
Macht bitte weiter,encouragement
eure stimme ist Toll !!,compliment
wow deine figur * - *,compliment
cooles video :),positive feedback
"So ein schönes Video , Luna",positive feedback
.,not
geil,positive feedback
roman ich binn einklig eum medel und,not
roman ich liebe dich,affection declaration
sie waren knuffig ??? sie sind süß,affection declaration
cool,positive feedback
Mach bitte noch mehr solche Videos * - *,encouragement
Du bist einfach so wunderschön,compliment
...,not
Ich hab geheult als ich das Video gesehen hab,positive feedback
hallo roman und heiko,not
dieser song ist sehr cool ;-),positive feedback
Es reißt mich immer mit 😔 💔,positive feedback
Du hast ja so recht 💔 †,not
@SheldoCoopo Ich weiß nicht was du hast .. Ganz im ernst,not
wenn die beiden eigene texte schreiben würden kämen sie sehr weit,implicit
! Versetz dich mal in die Köpfe der 13 - 15 jährigen weibern !,not
Ich finde ihre stimme geil !,compliment
Und sie müssen jah jetzt nicht singen können wie Brunomars oder was weiß ich ! Jeder Mensch kann singen ! Aber nicht jeder hat die perfekte stimme für jedes lied !,not
♥,positive feedback
"OMG Sami , ich hab jetzt nach so langer zeit ein voll voll altes Video von dir angeschaut , und ja , ich war einfach bzw.",not
ich freue mich total dass es dich hier auf YouTube schon sooo lange gibt !,positive feedback
Und,not
die ersten Videos finde ich voll lustig von dir,positive feedback
"weil , ich meine du sagtest hier dass du 25 Abonnenten hast , aber heute hast du ja schon über 20.000 Abonnenten und dass freut mich einfach für dich ! Und du warst auch früher so wie du jetzt bist hab ich bemerkt , also",not
bleib so wie du bist !,encouragement
:D lg. Jonny,not
roman ~ so hübsch,compliment
ihr seid so cooooooool 😀 😀 😀,affection declaration
Toll * - *,positive feedback
#SnapchatArmy @heikolochmann @iliebeyou,not
ist wie immer ne geile Parodie !,positive feedback
Ihr singt so süß,compliment
ich höre es jeden Tag,positive feedback
Hey das Video War super toll,positive feedback
Reni du sahst am ende so aus wie ich mich jeden morgen fühle,not
3,positive feedback
Mei herz spiet spiet spiet verrückt heiko und roman ja ja ja ja ja ja ja ja ja ja jjjjjjjjjaaaaaaa,affection declaration
lustige Videos 😂,positive feedback
.,not
"wäre auch komisch wenn man abends einen pyjama anzieht , morgens aufwacht und ihn nicht mehr anhat ;)",not
super video :*,positive feedback
Die besten,positive feedback
sorry,not
ich steh auf die katze :D,affection declaration
@Shayanna1992,not
"Würd mich auch freuen , wenn du öfters Buchvorstellungen machst",agreement
", allein auch aus Interesse , was du so liest . :)",not
an die loch is,not
ihr seid sooooo süß und die süßesten der welt . 💋 💋 💋 💕 💕 💞 💞 💝 💖 💓 💜 💜 💜 💓 💞 💋 💕 💖 💜 💜 💓 💓 💞 💕 💋 👍 💗 💗 💚 💚 😘 😘 💏 😘 😘 💗 💋 💕 💞 💝 💖 💓 💜 👍 ✌ 💗 💚 😘 💏 💏 💜 💓 💖 😘 💝 💚 💗 💞 ✌ 💕 💋 👍 💋 👍 💕 ✌ 💞 💗 💝 💚 💖 😘 💓 💏 💜,affection declaration
und wenn ich könnte würde ich euch 19393744637838382884883993020020292992929929415273892716626262892919928287274646637282881819187374663728929837464 Mal Küssen weil ihr so süß seid . sind noch Tickets für Februar da denn ich würde gerne kommen . Ihr seid so süß ich liebe euch so sehr weil die süßesten Zwillinge der Welt ich liebe euch so sehr,affection declaration
und scheiß auf die Hater,not
einen dicken fetten Kuss,affection declaration
ich liebe euch,affection declaration
ihr seid so süß,affection declaration
wenn ich könnte würde ich euch tausendmal Küssen,affection declaration
Ich liebe dich Heiko und Roman dich auch 💋 💋 💋 ✌ ✌ 💋 💕 💕 😘,affection declaration
Einfach geil 😍 ✌🏻️,positive feedback
echt cool gemacht,positive feedback
ich freue mich immer wieder aufs neue,positive feedback
1A 👍 👍 👍 👍 👍 👍,positive feedback
Uuh wow *_* wie toll du aussiehst !! :* *,compliment
deine haare und die mütze und die jacke pörrfäckt !!,compliment
"Ich finde , du bist mit diesem Make-Up seltsamerweise immernoch hübsch :D",compliment
geil,positive feedback
passt zu mir,not
Heiko du hast nean sexy Body 😏 ❤ 💦 👅,compliment
Das Video ist wunderschön,positive feedback
!,not
Du kannst so unglaublich gut Emotionen auslösen,compliment
".... Das Video scheint zwar für andere nichtssagenden zu sein , aber",not
"ich finde es atemberaubend , wie viel Kunst da drin steckt",positive feedback
.,not
Ich hatte einen Moment das Gefühl dabei zu sein,positive feedback
....,not
Es macht wirklich nachdenklich !,positive feedback
Danke für das wunderschöne Video ❤️,gratitude
"ich finde echt , dass unglaublich viel Kreativität in deinen Video steckt 🍥",positive feedback
"Echt cooles video , hab viele neue sachen erfahren :)",positive feedback
Dankeschön,gratitude
!,not
Das ist so hilfreich !,positive feedback
"Aber was macht man als schwules Pärchen beim Bezahlen ? Ich vertrau da voll auf deine Erfahrungen :D Wie war das in dem Video was ich davor sah ? Du bist Singel ? Warum denn das ? Wo man dich doch als , ich zitiere : die Definition für Schönheit an einem Jungen bezeichnet Oo Such dir ganz schnell n Freund .. oder von miraus auch ne Freundin wenn du meinst ... ;-)",not
oh bist du schön !,compliment
kommt drauf an ob ich mich schmink oder nixht 😅 😅,not
❤,positive feedback
Julia,not
:*,positive feedback
Wie fällt euch immer dieser Text ein ?,implicit
(,not
Das lied ist voll geil,positive feedback
),not
Hahah,not
bist du süß,affection declaration
Jo,agreement
ganz ganz tolles Video,positive feedback
und,not
danke für die Tipps ich werde sicherlich ein paar anwenden,gratitude
. bitte mache auch Haartutorial zu der schönen Frisur . PS :,not
Du siehst heute noch ein klein bischen hübscher aus als sonst,compliment
Cooles Video ☺️,positive feedback
einfach beeindruckend was du alles von dir gibst !,compliment
liebe deine videos !,positive feedback
bist auch sehr inspirierend :) ❤,compliment
Ich Frühtstücke nicht in der Schulzeit ... Schminken und anziehen bzw die Sachen noch aussuchen dauert bei mir zu lange 😅 Wenn ich noch essen will muss ich früher auf stehen und darauf hab ich kein Bock 😂,not
Ly ❤,affection declaration
ihr fetzt,compliment
Ihr seid voll Cool,affection declaration
"Ihr seid nicht so mein Fall , aber",not
"ich finde es echt bewundernswert , dass ihr den Mut zu so etwas habt !",compliment
A. ),not
Du siehst heute Mega aus,compliment
B. ) Ich schlafe in Boxershorts und nem T-Shirt ( meistens das was ich am Tag anhatte ) C. ) Trolololololil :D,not
Ich liebe beide,affection declaration
nur zu info ich bin ein girl,not
^-^,positive feedback
heiko roman ♥ ♥ ♥ ♥ ♥ ♥,affection declaration
cool 💖 💖 💖 💖 💖 💖 💋 💋 💋 💋,positive feedback
Du siehst in dem Video sooo toll aus .. * - * :)),compliment
lol voll coooloooool 😍 😍,positive feedback
In diesem Video siehst du soooo hübsch ausss,compliment
super geiles vidio ♥ ♥ ♥,positive feedback
Voll der Ohrwurm :),positive feedback
ihr seid sus,affection declaration
Das Video ist hamma ! 3,positive feedback
voll der ohrwurm !,positive feedback
Ichliebeeuchromanundheiko ! 3333,affection declaration
Gutes video ♡ ♡ ♡,positive feedback
ich liebe dein Frisur,compliment
... könntest du dazu ein Video drehen ??? ;),not
Einfach geiel diese Jungs !,affection declaration
Wer stimmt mir zu ? ; xx --- Damen hoch,not
;) 3,positive feedback
Ihr seid die besten 🤗 😍,affection declaration
Toll wie ihr euch dafür einsetzt ! :),compliment
